nombre,precio,cuotas,imagen,categoria,descripcion,caracteristicas,modo_uso,calificacion,num_calificaciones
Rubor moño con esponjita Novo #6210,2600,1,productos/rubor-moo-con-esponjita-novo-6.jpg,maquillaje,Rubor moño con esponjita Novo #6210 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial en barra matte larga duracion Novo #6208,1900,1,productos/labial-en-barra-matte-larga-du.jpg,maquillaje,Labial en barra matte larga duracion Novo #6208 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta corrector con cepillo Novo #6141,2400,1,productos/paleta-corrector-con-cepillo-n.jpg,maquillaje,Paleta corrector con cepillo Novo #6141 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rimmel ultra fino waterproof Novo #6173,1500,1,productos/rimmel-ultra-fino-waterproof-n.jpg,maquillaje,Rimmel ultra fino waterproof Novo #6173 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial liquido matte Novo #5411,2000,1,productos/labial-liquido-matte-novo-5411.jpg,maquillaje,Labial liquido matte Novo #5411 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial liquido matte velvet Novo #8099,1900,1,productos/labial-liquido-matte-velvet-no.jpg,maquillaje,Labial liquido matte velvet Novo #8099 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Crema de manos Novo #6049,3300,1,productos/crema-de-manos-novo-6049.jpg,maquillaje,Crema de manos Novo #6049 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rubor cremoso en pote Novo #5885,2500,1,productos/rubor-cremoso-en-pote-novo-588.jpg,maquillaje,Rubor cremoso en pote Novo #5885 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Balsamo labial hidratante nocturna Novo #6069,2300,1,productos/balsamo-labial-hidratante-noct.jpg,maquillaje,Balsamo labial hidratante nocturna Novo #6069 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Paleta iluminador ultrabrillante Novo #5833,3700,1,productos/paleta-iluminador-ultrabrillan.jpg,maquillaje,Paleta iluminador ultrabrillante Novo #5833 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Labial en barra matte waterproof Novo #5979,2300,1,productos/labial-en-barra-matte-waterpro.jpg,maquillaje,Labial en barra matte waterproof Novo #5979 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Rubor en paleta Novo #5916,2100,1,productos/rubor-en-paleta-novo-5916.jpg,maquillaje,Rubor en paleta Novo #5916 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Lip gloss matte Novo #5882,1900,1,productos/lip-gloss-matte-novo-5882.jpg,maquillaje,Lip gloss matte Novo #5882 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Sombra individual Novo #5988,1700,1,productos/sombra-individual-novo-5988.jpg,maquillaje,Sombra individual Novo #5988 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo labial gloss juice lips #6095,2000,1,productos/novo-labial-gloss-juice-lips-6.jpg,maquillaje,Novo labial gloss juice lips #6095 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo balsamo labial hidratante frutal #5414,2500,1,productos/novo-balsamo-labial-hidratante.jpg,maquillaje,Novo balsamo labial hidratante frutal #5414 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo base cussion + polvo compacto 2en1 #6090,7000,1,productos/novo-base-cussion-polvo-compac.jpg,maquillaje,Novo base cussion + polvo compacto 2en1 #6090 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo mascara de pestañas doble cepillos #6071,2900,1,productos/novo-mascara-de-pestaas-doble-.jpg,maquillaje,Novo mascara de pestañas doble cepillos #6071 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo rubor con esponjita #6098,2300,1,productos/novo-rubor-con-esponjita-6098.jpg,maquillaje,Novo rubor con esponjita #6098 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo paleta de sombra 4 colores #5815,3400,1,productos/novo-paleta-de-sombra-4-colore.jpg,maquillaje,Novo paleta de sombra 4 colores #5815 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo polvo compacto #5935,3400,1,productos/novo-polvo-compacto-5935.jpg,maquillaje,Novo polvo compacto #5935 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo Paleta maquillaje + rubor #6089,4200,1,productos/novo-paleta-maquillaje-rubor-6.jpg,maquillaje,Novo Paleta maquillaje + rubor #6089 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
Novo lips stick Gloss #5989,3000,1,productos/novo-lips-stick-gloss-5989.jpg,maquillaje,Novo lips stick Gloss #5989 - Maquillaje de la marca JOJO DIARY,"Producto de Maquillaje
Marca: JOJO DIARY",-,5,0
