nombre,precio,cuotas,imagen,categoria,descripcion,caracteristicas,modo_uso,calificacion,num_calificaciones
Labial liquido matte osito Gegebear #GX1049,1400,1,productos/labial-liquido-matte-osito-geg.jpg,maquillaje,Labial liquido matte osito Gegebear #GX1049 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Rubor en crema Gegebear #GX2007,1200,1,productos/rubor-en-crema-gegebear-gx2007.jpg,maquillaje,Rubor en crema Gegebear #GX2007 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Labial gloss solido Gegebear #GX1129,1700,1,productos/labial-gloss-solido-gegebear-g.jpg,maquillaje,Labial gloss solido Gegebear #GX1129 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Rubor jelly Gegebear #GX1159,1300,1,productos/rubor-jelly-gegebear-gx1159.jpg,maquillaje,Rubor jelly Gegebear #GX1159 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Polvo compacto Gegebear efecto matte #GX2019,3300,1,productos/polvo-compacto-gegebear-efecto.jpg,maquillaje,Polvo compacto Gegebear efecto matte #GX2019 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Rubor crema con esponjita Gegebear #GX2009,1900,1,productos/rubor-crema-con-esponjita-gege.jpg,maquillaje,Rubor crema con esponjita Gegebear #GX2009 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Labial gloss solido Gegebear #GX1120,1700,1,productos/labial-gloss-solido-gegebear-g.jpg,maquillaje,Labial gloss solido Gegebear #GX1120 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Labial matte Gegebear #GX1107,1500,1,productos/labial-matte-gegebear-gx1107.jpg,maquillaje,Labial matte Gegebear #GX1107 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Cajita x3 labiales gloss solidos Gegebear #GX1098,4500,1,productos/cajita-x3-labiales-gloss-solid.jpg,maquillaje,Cajita x3 labiales gloss solidos Gegebear #GX1098 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Labial liquido matte Gegebear #GX1079,1500,1,productos/labial-liquido-matte-gegebear-.jpg,maquillaje,Labial liquido matte Gegebear #GX1079 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Labial gloss osito Gegebear #GX1071,1600,1,productos/labial-gloss-osito-gegebear-gx.jpg,maquillaje,Labial gloss osito Gegebear #GX1071 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Labial gloss Gegebear #GX1057,1400,1,productos/labial-gloss-gegebear-gx1057.jpg,maquillaje,Labial gloss Gegebear #GX1057 - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
Lipstick osito Gegebear varios colores,2200,1,productos/lipstick-osito-gegebear-varios.jpg,maquillaje,Lipstick osito Gegebear varios colores - Maquillaje,"Producto de Maquillaje
Producto de calidad",-,5,0
